DEPENDENCY	STATUS	DETAIL
~/workspace	MISSING_EXACT_GIT_OBJECT_AVAILABLE	main:~/workspace	OBJECT_SHA=fc63497cddd8753f39abb0906c278a6f5ce3f1d5
execution/mex-inspection/repository_tree.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/REPOSITORY-INVENTORY.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/invitation-creation-authority-certification.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/reports/AUTHENTICATION-ENTRY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/RUNTIME-EVIDENCE-REPORT.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package.zip	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/reports/DASHBOARD-ENTRY-CORRIDOR.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/mex-inspection/inventory.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/hubauth-surface-discovery.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/RUNTIME-SURFACE-REPORT.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/FDR-010E35A-025-backup/member.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/FDR-010E35A-026-backup-member.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
server/routes/member.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/pages/MemberDashboard.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/APP-REALIZATION-002B-PIC.zip	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/pages/MemberHub.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/MemberHub.pre-mutation.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-005-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-006-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-007-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-008-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-009-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-010-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-011-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/GE-RMP-012-Claude-Package/implementation-context/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/RUNTIME-DIVERGENCE-REPORT.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/FDR-010E35A-016-backup/client/src/App.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/builder/APP-REALIZATION-002B.builder.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/governance/cib/generated/CIB-APP-REALIZATION-002B-RUNTIME-IDENTITY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/APP-RMP-010E34B-013-backup/server/routes.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/APP-RMP-010E34B-016-backup/server/routes.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
governance/cib/generated/CIB-APP-REALIZATION-002B-RUNTIME-IDENTITY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
server/routes.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/runtime-recovery/post-recovery-auth-continuity-milestone.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/inspect_memberhub_queries.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
governance/execution/evidence/APP-REALIZATION-002B-EXECUTION-DERIVATION-PRE-MUTATION.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/pages/HubDashboard.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/governance/icm/generated/ICM-APP-REALIZATION-002B.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
governance/icm/generated/ICM-APP-REALIZATION-002B.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
server/middleware/attachUserContext.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package.zip.sha256	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/governance/rmp/FAB-APP-REALIZATION-002B-IMPLEMENTATION-AUTHORITY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/tools/mutate.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/STAGE2-QUERY-STRUCTURAL-CAPTURE.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/STAGE2-QUERY-STRUCTURAL-CAPTURE.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
governance/rmp/FAB-APP-REALIZATION-002B-IMPLEMENTATION-AUTHORITY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/pages/member/MemberDashboard.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/ai/03-state-machine-and-flow.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/ai/system-control-plane.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/memberhub-mutation-targets.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/memberhub-pending-diff.patch	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/PACKAGE-MANIFEST.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/runtime-files.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/tools/inspect.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/apply_stage1_gate.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/LES-001/repository_mutation_package/inspection/PRODUCTION-SURFACE-DISCOVERY.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/LES-001/repository_truth/REPOSITORY-TRUTH.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
client/src/components/dashboard/InvitationAcceptanceSection.tsx	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/ai/02-runtime-contract-table.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-013-routing-entrypoints.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-029-runtime-truth-capture.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-004/LIVE-TEST-CHECKLIST.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/generate_stage1_patch.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/verify_stage1_gate.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/LES-001/repository_mutation_package/inspection/LANDING-EXPERIENCE-TARGETS.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/FDR-010E35A-001-repository-truth.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE.manifest.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/APP-REALIZATION-002B-PIC/PRODUCTION_IMPLEMENTATION_CONTRACT.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-004/README.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/IMPLEMENTATION-SPEC.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
server/routes/admin.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
server/routes/devTestAuth.ts	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/ai/10-mvp-system-specification.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/implementation-evidence/PHASE-1-BASELINE/mutation-surface-evidence.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/APP-REALIZATION-002B-PIC/IMPLEMENTATION_CONTEXT_MANIFEST.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/START-HERE.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/FAB-APP-REALIZATION-002B-Claude-Package/governance/execution-derivation/EXECUTION-DERIVATION.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-certification/tools/certify.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-017-live-member-identity.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-028-runtime-capture.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/fix_stage1_gate.py	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/LES-001/authority_retrieval/CANONICAL-AUTHORITY-RANKING.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/LES-001/authority_retrieval/CANONICAL-AUTHORITY-RESOLUTION.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/workspace/LES-001/authority_retrieval/LES-001-AUTHORITY-INVENTORY.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
governance/execution-derivation/generated/EXECUTION-DERIVATION.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
docs/operations/runtime-guard-and-merge-recovery.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/builder-work/builder-work-package.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/builder/incoming/APP-REC-003C-awaiting-builder.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/builders/BUILDER-HANDOFF-CERTIFICATION.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/mex-inspection/SUMMARY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/APP-REALIZATION-002B-PIC/IMPLEMENTATION_AUTHORITY.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/APP-REC-INVITE-002R/implementation-authority-package.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/LEAP-IMPLEMENT-RDM-001/returned/SLICE-001/Build-Output.txt	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/packages/MP-001/generated/MP-001-BUILD-VALIDATION.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/reports/LER-001A-build-after-asset-fix.log	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-003-runtime-dependency-analysis.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/runtime-validation/FDR-010E35A-016-member-identity-contract.json	PRESENT_CURRENT	CURRENT_PATH_EXISTS
execution/sprints/APP-REC-005/STAGE1-BASELINE.md	PRESENT_CURRENT	CURRENT_PATH_EXISTS
